abreviation;SourceAbreviation
efficacite;efficacite
efficacite;Efficacite
efficacite;EFFICACITE
analyse;Analyse
analyse;ANALYSE
analyse;analyse
analyse;analyse.
analyse;ANALYSE.
blqpe;Blqpe
blqpe;BLQPE
blqpe;blqpe
pneumo;.PNEUMO
pneumo;Pneumo
pneumo;Pneumo.
pneumo;.pneumo
pneumo;pneumo/
pneumo;pneumo.
pneumo;pneumo
pneumo;PNEUMO.
pneumo;PNEUMO
toxoplas;TOXOPLAS.
toxoplas;toxoplas
toxoplas;TOXOPLAS
toxoplas;Toxoplas
farr;farr
farr;Farr
farr;FARR
farr;FARR/
hyperinsulinisme;Hyperinsulinisme
hyperinsulinisme;HYPERINSULINISME
hyperinsulinisme;hyperinsulinisme
aspergi;Aspergi
aspergi;ASPERGI
aspergi;Aspergi.
aspergi;aspergi
poche;.POCHE
poche;Poche
poche;POCHE
poche;poche
vit;VIT
vit;Vit
vit;vit
vit;.VIT
cdg;CDG
cdg;Cdg
cdg;cdg
cdg;.CDG
muco;MUCO
muco;Muco
muco;muco
muco;.MUCO
legi;LEGI
legi;legi
legi;Legi.
legi;Legi
posologie;POSOLOGIE
posologie;Posologie
posologie;posologie
conserv;CONSERV.
conserv;Conserv
conserv;CONSERV
conserv;conserv
sphe;SPHE.
sphe;SPHE
sphe;Sphe
sphe;sphe
exam;exam
exam;Exam
exam;EXAM
nocar;nocar
nocar;NOCAR
nocar;Nocar
nocar;NOCAR/
glu;GLU
glu;Glu
glu;glu
glu;GLU.
caryotypage;caryotypage
caryotypage;Caryotypage
caryotypage;CARYOTYPAGE
blse;blse
blse;BLSE
blse;Blse
blse;blse.
blse;.BLSE
cdt;CDT
cdt;Cdt
cdt;cdt
myc;MYC.
myc;MYC
myc;Myc
myc;myc
sero;.Sero
sero;.SERO
sero;Sero
sero;SERO
sero;sero
sero;SERO.
sero;Sero.
griffe;Griffe
griffe;GRIFFE
griffe;griffe
cysticerc;CYSTICERC
cysticerc;Cysticerc
cysticerc;CYSTICERC.
cysticerc;cysticerc
rbp;RBP
rbp;Rbp
rbp;rbp
cutan;cutan
cutan;CUTAN
cutan;Cutan
cutan;.cutan
redon;.REDON
redon;Redon
redon;REDON
redon;redon
nile;NILE
nile;Nile
nile;Nile/
nile;nile
gmp;GMP
gmp;Gmp
gmp;gmp
cel;Cel.
cel;CEL
cel;Cel
cel;cel
ecouv;ECOUV
ecouv;Ecouv
ecouv;Ecouv.
ecouv;ecouv.
ecouv;ecouv
ecouv;ECOUV.
phosp;PHOSP.
phosp;Phosp
phosp;PHOSP
phosp;phosp
result;result
result;Result.
result;RESULT
result;Result
deplacemt;deplacemt
deplacemt;Deplacemt
deplacemt;DEPLACEMT
arterielle;.Arterielle
arterielle;arterielle
arterielle;Arterielle
arterielle;ARTERIELLE
myelome;.MYELOME
myelome;.Myelome
myelome;myelome
myelome;Myelome
myelome;MYELOME
rglyc;Rglyc
rglyc;RGLYC
rglyc;Rglyc.
rglyc;rglyc
aspect;aspect
aspect;ASPECT
aspect;Aspect
cysti;cysti
cysti;Cysti
cysti;CYSTI
cysti;Cysti.
tgp;TGP
tgp;Tgp
tgp;tgp
cerebrosidase;.CEREBROSIDASE
cerebrosidase;cerebrosidase
cerebrosidase;Cerebrosidase
cerebrosidase;CEREBROSIDASE
corona;Corona/
corona;CORONA
corona;Corona
corona;corona
recherch;RECHERCH
recherch;Recherch.
recherch;Recherch
recherch;recherch
bdes;bdes
bdes;BDES
bdes;Bdes
semina;.semina
semina;SEMINA
semina;Semina
semina;semina
abacav;abacav
abacav;ABACAV
abacav;Abacav
genoty;genoty
genoty;Genoty.
genoty;GENOTY
genoty;Genoty
citrate;Citrate/
citrate;citrate
citrate;CITRATE
citrate;Citrate
adeno;ADENO
adeno;Adeno
adeno;adeno
adeno;Adeno/
histo;HISTO
histo;Histo
histo;histo
histo;HISTO/
toxopl;Toxopl
toxopl;TOXOPL
toxopl;toxopl
toxopl;toxopl.
xpc;XPC
xpc;Xpc
xpc;xpc
cfm;CFM
cfm;Cfm
cfm;cfm
fibrinogene;FIBRINOGENE
fibrinogene;fibrinogene
fibrinogene;Fibrinogene
xpd;XPD
xpd;Xpd
xpd;xpd
spermato;SPERMATO
spermato;SPERMATO.
spermato;.SPERMATO
spermato;Spermato
spermato;spermato.
spermato;.spermato
spermato;spermato
xpg;XPG
xpg;Xpg
xpg;xpg
plasmo;PLASMO
plasmo;Plasmo
plasmo;.Plasmo
plasmo;plasmo
abr;Abr
abr;abr
abr;Abr/
abr;ABR
abr;.ABR
betabloquant;betabloquant
betabloquant;BETABLOQUANT
betabloquant;Betabloquant
betabloquant;BETABLOQUANT.
betabloquant;Betabloquant.
bsbm;bsbm
bsbm;BSBM
bsbm;Bsbm
coxi;COXI
coxi;coxi
coxi;Coxi.
coxi;Coxi
sperme;.sperme
sperme;sperme
sperme;Sperme/
sperme;SPERME/
sperme;SPERME
sperme;.Sperme
sperme;Sperme
xylo;xylo.
xylo;xylo
xylo;XYLO
xylo;Xylo
acet;acet
acet;Acet
acet;Acet.
acet;ACET
polynuc;Polynuc
polynuc;POLYNUC
polynuc;POLYNUC.
polynuc;polynuc
xpv;XPV
xpv;Xpv
xpv;xpv
ascite;.ascite
ascite;ascite
ascite;ASCITE
ascite;Ascite
ascite;.ASCITE
ecouvil;Ecouvil
ecouvil;ECOUVIL
ecouvil;ecouvil
ecouvil;ECOUVIL.
grosses;Grosses
grosses;GROSSES
grosses;grosses
grosses;grosses.
urealyt;urealyt
urealyt;.urealyt
urealyt;UREALYT
urealyt;Urealyt
red;RED
red;Red
red;red
red;RED.
rec;REC
rec;Rec
rec;rec
rec;Rec.
rec;REC.
rec;REC/
rec;rec.
act;ACT.
act;ACT
act;Act
act;act
lact;Lact
lact;lact
lact;LACT.
lact;LACT
post;post
post;POST
post;Post
enceph;ENCEPH.
enceph;enceph
enceph;Enceph
enceph;ENCEPH
plomb;Plomb
plomb;PLOMB
plomb;plomb
plomb;Plomb/
gono;GONO
gono;Gono
gono;gono
gono;.Gono
gono;.GONO
gono;.gono
tiq;tiq.
tiq;TIQ
tiq;Tiq
tiq;tiq
pap;PAP.
pap;PAP
pap;Pap
pap;pap
tis;TIS.
tis;TIS
tis;Tis
tis;tis
res;Res
res;RES
res;res
res;.Res
res;Res.
res;RES.
microorga;microorga
microorga;Microorga
microorga;MICROORGA
microorga;MICROORGA.
pat;PAT
pat;Pat
pat;pat
pat;PAT.
pat;pat.
risque;risque
risque;RISQUE
risque;Risque
sans;Sans
sans;SANS
sans;sans
chl;CHL
chl;Chl
chl;chl
chl;Chl.
chl;CHL.
adn;.ADN
adn;Adn
adn;adn
adn;ADN
cinetiq;CINETIQ
cinetiq;Cinetiq
cinetiq;CINETIQ.
cinetiq;cinetiq
poso;poso.
poso;Poso
poso;POSO
poso;poso
sang;Sang
sang;SANG
sang;sang
sang;.SANG
secretion;secretion
secretion;Secretion
secretion;SECRETION
secretion;.SECRETION
cine;CINE
cine;CINE.
cine;cine
cine;Cine
urin;urin
urin;URIN
urin;URIN.
urin;Urin
urin;Urin.
pbg;PBG
pbg;Pbg
pbg;pbg
pbg;PBG/
ntbc;Ntbc
ntbc;NTBC
ntbc;ntbc
altern;Altern.
altern;altern
altern;ALTERN
altern;Altern
indifferenciees;indifferenciees
indifferenciees;INDIFFERENCIEES
indifferenciees;.Indifferenciees
indifferenciees;Indifferenciees
neurotrasm;Neurotrasm
neurotrasm;neurotrasm
neurotrasm;NEUROTRASM.
neurotrasm;NEUROTRASM
recher;recher
recher;RECHER.
recher;RECHER
recher;Recher
cytobact;CYTOBACT.
cytobact;cytobact
cytobact;CYTOBACT
cytobact;Cytobact
hypoglyc;HYPOGLYC
hypoglyc;hypoglyc
hypoglyc;HYPOGLYC.
hypoglyc;Hypoglyc
lactose;Lactose
lactose;lactose/
lactose;LACTOSE
lactose;lactose
pcb;PCB
pcb;Pcb
pcb;pcb
aer;.AER
aer;aer.
aer;AER
aer;AER.
aer;Aer
aer;aer
transglu;transglu
transglu;Transglu.
transglu;TRANSGLU
transglu;Transglu
electro;electro
electro;ELECTRO
electro;Electro
ena;ENA
ena;Ena
ena;ena
ena;.ENA
rgp;rgp
rgp;RGP
rgp;Rgp
willebrand;WILLEBRAND
willebrand;.WILLEBRAND
willebrand;willebrand
willebrand;Willebrand
pcr;.PCR
pcr;PCR.
pcr;pcr.
