abreviation;nombreLibelle;libelle
brucella;1;TR.PCR.Brucella
bsarm;1;Dép.BSARM /site
gene;3;PCR.GENE.R SAUR/ART
gene;3;Conclusion GèneTPMT
gene;3;Var.Gène Serpin A1
geno;2;ETIQ.GENO PAP.BIOPS
geno;2;ETIQ.GENO PAP.UTERUS
immud;1;CYTOB.SEC.BR.IMMUD.
selle;1;R.pcr.H.pyloriSELLE
sanguin;1;BACT.PROD.SANGUIN
tlt;1;SERO TOXO TLT
toxine;1;REC.TOXINE CL.DIFFIC
sous;3;SousTotalGranuleuse
sous;3;SousTotal 1 Myélo
sous;3;SousTotal LiqBio
peloto;1;G3 DACTYLE PELOTO.
ongel;1;DCongél.d'embryon+c
vit;1;DOS.IL6/10 HAQU.VIT
resist;2;RESIST.MYCOB:BMRBK
resist;2;REC. resist.MYCOBACT
fw;3;MUT GENE FW
fw;3;FWill RAgNéphéStago
fw;3;FWill RAg Elisa
liqui;1;PCR Orthopox/Liqui.
moyen;2;Cytob.Orei.moyen N2
moyen;2;Cytob.Orei.moyen N3
autr;7;BAC BIOPS.AUTR N8
autr;7;BAC BIOPS.AUTR N7
autr;7;BAC BIOPS.AUTR N4
autr;7;BAC BIOPS.AUTR N3
autr;7;BAC BIOPS.AUTR N6
autr;7;BAC BIOPS.AUTR N5
autr;7;BAC BIOPS.AUTR N2
ck;5;CK sg 1
ck;5;CK MB dos
ck;5;CK sg 2
ck;5;25 % CK
ck;5;CK sg
urine;1;EX MICR.URINE BCBU5
posologie;2;PosologieEstimée PJ
posologie;2;VNposologie
explorat;1;EXPLORAT.FIBRINOLYSE
pentameres;1;PHENO.PENTAMERES SEP
germe;2;Comment.Germe 3:
germe;2;Comment.Germe 2:
bdes;1;Somme 4 bdesAsperg
ngs;2;Seq.GènesPlaq NGS
ngs;2;SEQ.GENES.PLQ NGS
ext;2;BAC PVT ORE.EXT N2
ext;2;BAC PVT ORE.EXT
saccharom;1;Ac A-Saccharom.Cere
jiro;2;REC.P.JIRO SEULE
jiro;2;Pn.jiro PVT DIVERS:
elisa;3;SER.CHL.PNEU.ELISA
elisa;3;SER.MYCOP.PNEU.ELISA
elisa;3;DD ELISA/ T
souc;5;R.pcr.B.pertussSouc
souc;5;R.pcr.Chl.tracSouc
souc;5;SOUC.FONGIQUE CNRMA
souc;5;R.pcr.M.pneumoSouc
souc;5;R.pcr.C.pneumoSouc
flac;1;Cyt.Liq Artic+flac.
penicil;2;M209 PENICIL.FREQ
penicil;2;m209 Penicil.freq
rglyc;1;Rech Ec Rglyc.BERG
ser;29;SULFAM.HYPOGLYC.SER
ser;29;BETA D GLUCANES SER.
ser;29;SER.MYCOP.PNEU.LCR
ser;29;Bêta-D-glucanes sér.
ser;29;SER .LEPT.SERou LCR
ser;29;e204 vache alb.sér
ser;29;A-NEURO CV2,AMP..SER
ser;29;SER.CHL.PNEU.ELISA
ser;29;Sér.M.pneu.LCR RFC:
ser;29;SULFA.HYPOGLYC.SER.
ser;29;SER LEPT.SERouLCR TR
ser;29;TRANS SER.LEGIONELLA
ser;29;SER.CHL.TRAC.LCR/EL
ser;29;SER.CHL.PNEU.LCR/EL
ser;29;Dos.SérCh.légKapLam
ser;29;SER.CHL.PSITT.LCR
ser;29;SER.CHL.PSITT.SER IF
ser;29;e222 porc alb.sér
ser;29;SER.C.TRACHO.SER/EL
ser;29;TRAN.SER.MAL.GR.CHAT
ser;29;SULFA.HYPOGLYCE.SER.
ser;29;TR.Sér.tétanos&dipht
ser;29;SER.ANTISTAPHYLOLYSI
ser;29;TRANS.SérMAL.GR.CHAT
ser;29;SER.MYCOP.PNEU.ELISA
ser;29;SER.MYCOP.PNEU.SERUM
ser;29;com.SER lyme Mikr.
ser;29;SER.ASLO+ASDORNASE
ser;29;TR.Sér.Rickettsies
amines;3;Concl AcAminés Sg
amines;3;Chromato Ac.Aminés
amines;3;Concl Ac.Aminés LCR
cell;4;CELL.DENDRITIQUES
cell;4;AutresCellLiqBio
cell;4;CHARGE VIH CELL.SEMI
cell;4;CELL.SEZARY CD158
toscana;3;PCR TOSCANA/LCR
toscana;3;PCR TOSCANA/DIVERS
toscana;3;PCR Toscana/plasma
ant;2;Rech/pcr.B.ant.pag:
ant;2;Rech/pcr.B.ant.capA
hvn;1;Etiq supp HVN
dif;1;TOXINES C.DIF
americ;1;TRYPANO AMERIC. SERO
des;13;CYTOB.DES BIOPS.AUT
des;13;CYT.DES.BIOPS.OS.
des;13;CYT.DES BIOPS.OS N3
des;13;CYT.DES BIOPS.OS N4
des;13;CYTOB.DES BIOPS.PUL
des;13;CYT.DES BIOPS.OS N5
des;13;CYT.DES BIOPS.OS N6
des;13;CYT.DES BIOPS.PUL N4
des;13;CYT.DES BIOPS.OS N7
des;13;CYT.DES BIOPS.OS N8
des;13;CYT.DES BIOPS.PUL N3
des;13;CYT.DES BIOPS.OS N2
des;13;CYT.DES BIOP.PUL N2
red;1;AC ANTI-HMG-COA RED.
